52,7,56,0,0
day,number of animals,number of grass,avg energy,length of life,avg children
1,32,2,95,0,0
2,34,4,84,0,0
3,41,6,74,0,0
4,47,8,56,0,0
5,55,9,44,0,0
6,61,9,33,0,0
7,66,8,28,2,1
8,73,8,24,2,1
9,76,9,19,3,1
10,67,9,17,3,1
55,7,47,1,0
day,number of animals,number of grass,avg energy,length of life,avg children
1,32,2,95,0,0
2,35,4,84,0,0
3,39,6,71,0,0
4,47,8,59,0,0
5,57,8,44,0,0
6,66,10,33,0,0
7,73,12,24,2,1
8,71,14,20,2,1
9,67,12,17,3,1
10,60,13,18,3,1
11,56,14,16,3,1
12,50,16,14,4,1
13,38,17,14,4,1
14,33,18,13,4,1
15,26,19,13,4,1
16,16,19,22,4,1
17,12,21,34,5,1
45,12,34,2,0
day,number of animals,number of grass,avg energy,length of life,avg children
1,31,2,95,0,0
2,33,4,86,0,0
3,38,6,76,0,0
34,4,85,0,0
day,number of animals,number of grass,avg energy,length of life,avg children
1,11,2,95,0,0
2,12,4,81,0,0
3,15,5,69,0,0
4,18,6,54,0,0
5,22,4,40,0,0
6,28,5,34,0,1
7,32,4,23,0,1
8,31,6,24,3,1
9,30,6,22,3,1
10,29,6,22,3,1
11,27,6,19,3,1
12,25,8,18,4,1
13,21,7,17,4,2
14,22,7,18,4,2
15,21,6,21,4,2
16,23,6,20,4,2
17,21,5,17,4,2
18,16,5,27,4,2
19,11,7,40,4,2
20,9,9,44,4,2
21,9,11,39,4,2
22,7,11,45,5,2
23,7,11,55,5,2
24,7,12,64,5,2
25,8,13,59,5,2
26,9,13,53,5,2
27,9,14,53,5,2
28,10,16,48,5,2
29,8,17,58,5,2
30,9,15,52,5,2
31,10,15,52,5,2
32,11,15,47,5,2
33,12,11,42,5,2
34,13,10,59,5,2
35,15,11,57,5,2
36,17,8,52,5,1
37,20,7,49,5,1
16,8,42,3,1
38,23,8,47,5,1
day,number of animals,number of grass,avg energy,length of life,avg children
1,11,1,95,0,0
2,13,2,81,0,0
3,15,3,63,0,0
4,18,4,53,0,0
5,22,5,42,0,0
6,28,6,32,0,1
7,35,6,21,0,1
8,35,7,17,2,1
9,29,6,17,2,1
10,25,6,18,3,1
11,19,6,25,3,1
12,22,6,22,3,1
13,23,6,17,3,1
14,25,4,14,3,1
15,21,3,18,3,2
16,17,4,26,3,2
17,17,4,25,3,2
18,17,5,25,4,2
21,4,33,1,0
day,number of animals,number of grass,avg energy,length of life,avg children
1,10,1,95,0,0
2,10,3,90,0,0
3,12,5,85,0,0
4,14,6,65,0,0
5,17,7,55,0,0
6,21,8,43,0,0
7,26,10,30,0,1
8,30,8,19,0,1
9,27,7,22,3,1
10,26,6,22,3,1
11,22,8,26,3,1
12,18,8,27,3,1
13,19,8,30,3,1
14,20,8,26,3,1
15,20,5,23,3,1
16,19,3,28,3,2
17,20,3,30,3,2
18,18,5,32,4,2
19,18,7,30,4,2
20,18,6,23,4,2
21,17,7,31,4,2
22,17,7,29,4,2
23,18,6,29,4,2
24,18,6,33,4,2
25,19,6,27,4,2
26,19,8,25,4,2
18,6,37,2,1
27,18,8,22,5,2
day,number of animals,number of grass,avg energy,length of life,avg children
1,1,1,95,0,0
2,1,2,90,0,0
3,1,3,85,0,0
4,1,4,80,0,0
5,1,4,75,0,0
6,1,5,120,0,0
7,1,6,115,0,0
8,1,7,110,0,0
9,1,8,105,0,0
10,1,8,100,0,0
11,1,8,95,0,0
12,1,8,90,0,0
1,5,96,0,0
day,number of animals,number of grass,avg energy,length of life,avg children
1,2,1,95,0,0
2,2,2,90,0,0
3,2,2,85,0,0
4,2,2,80,0,0
5,3,3,75,0,0
6,4,3,45,0,0
7,5,3,28,0,1
8,6,3,18,0,1
9,7,3,10,0,1
10,8,2,3,0,1
11,6,1,7,1,2
12,2,2,48,4,2
13,2,2,43,4,2
14,2,2,38,4,2
15,2,2,58,4,2
3,2,48,1,0
day,number of animals,number of grass,avg energy,length of life,avg children
1,2,1,95,0,0
2,2,1,90,0,0
3,2,1,85,0,0
4,2,1,80,0,0
5,2,1,75,0,0
2,1,85,0,0
day,number of animals,number of grass,avg energy,length of life,avg children
1,2,1,95,0,0
2,2,2,90,0,0
3,2,2,85,0,0
4,2,2,80,0,0
2,1,87,0,0
day,number of animals,number of grass,avg energy,length of life,avg children
1,3,1,95,0,0
2,3,2,90,0,0
3,3,3,85,0,0
4,3,2,80,0,0
3,2,87,0,0
day,number of animals,number of grass,avg energy,length of life,avg children
1,1,1,95,0,0
2,1,2,90,0,0
3,1,3,85,0,0
4,1,3,80,0,0
5,1,3,75,0,0
6,1,3,120,0,0
7,1,3,115,0,0
8,1,3,110,0,0
9,1,3,105,0,0
10,1,3,100,0,0
11,1,3,95,0,0
1,2,97,0,0
day,number of animals,number of grass,avg energy,length of life,avg children
1,10,2,95,0,0
2,10,3,90,0,0
3,11,5,90,0,0
4,13,6,76,0,0
5,14,6,63,0,0
6,16,7,61,0,0
7,18,7,51,0,0
8,21,8,46,0,0
9,24,9,39,3,1
10,29,10,30,3,1
11,30,10,25,2,1
12,36,7,18,2,1
13,37,6,18,4,1
14,39,3,14,5,1
15,32,3,18,4,2
16,27,5,21,4,2
17,25,6,17,4,2
18,25,7,13,4,2
19,26,6,8,5,2
20,21,7,11,5,2
21,19,7,9,5,2
22,12,9,21,5,2
23,9,10,21,5,2
24,7,12,29,5,2
25,6,14,29,5,2
26,6,15,24,5,2
27,6,15,19,5,2
28,6,15,23,5,2
29,6,15,18,5,2
30,5,15,17,5,2
31,4,15,42,5,2
32,3,15,69,5,3
33,3,17,97,5,3
34,3,17,92,5,3
35,3,18,104,5,3
16,9,40,3,1
36,3,19,99,5,3
37,3,19,94,5,3
38,3,20,106,5,3
39,3,20,101,5,3
40,3,20,96,5,3
41,3,21,91,5,3
42,3,21,86,5,3
43,3,21,81,5,3
44,3,21,92,5,3
45,3,20,87,5,3
46,3,20,99,5,3
47,3,20,111,5,3
48,3,21,122,5,3
49,3,22,117,5,3
50,3,21,112,5,3
51,3,20,124,5,3
52,3,20,136,5,3
53,3,19,131,5,3
54,3,19,159,5,3
55,3,19,171,5,3
56,3,20,199,5,3
57,3,20,211,5,3
day,number of animals,number of grass,avg energy,length of life,avg children
